--------------------------------------------------------------------------------------------------------------------------------
+ Test Active Link              + Test Form                      3/12/2001  5:05:37 PM    Gain Focus; Lose Fo     0  Yes
SHRR:CHGTSK-ImplementStatus     SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:CHGTSK-ImplementStatus-CR  SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:CHGTSK-TaskStatusType      SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:CHGTSK-TaskStatusType-CR   SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:HPD-ActByAssignee-CR       SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:HPD-ActLaborCharge-CR      SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:HPD-ActLoadByAssignee-CR   SHR:Reporting                    1/11/2001 10:38:22 PM    Button;                20  Yes
SHRR:HPD-ActTimes-CR            SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ActVolumeDept-CR       SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ActVolumeMonthly-CR    SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ActVolumeRequest-CR    SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ActVolumeWeekly-CR     SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByAssignee             SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByAssignee-CR          SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByCategory             SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByCategory-CR          SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByGroup                SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByGroup-CR             SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByPriority             SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByPriority-CR          SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByRequester            SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-ByRequester-CR         SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-CasesStillOpen         SHR:Reporting                    1/11/2001 10:38:23 PM    Button;                20  Yes
SHRR:HPD-CasesStillOpen-CR      SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-CurrentSolByCat-CR     SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-CurrentSol-CaseSum-CR  SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-CurrentSolCatChart-CR  SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-CurrentSolCatGraph-CR  SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-CurrentSol-Count-CR    SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-CurrentSol-Sum-CR      SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-Details-CR             SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-MyOpenCategory-CR      SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-MyOpenDaysActive-CR    SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-MyOpenPriority-CR      SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-MyResolCategory-CR     SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-MyResolDaysActive-CR   SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-MyResolPriority-CR     SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-OpenCaseCounts-CTI-CR  SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-OpenCaseVolume-CR      SHR:Reporting                    1/11/2001 10:38:24 PM    Button;                20  Yes
SHRR:HPD-OpenChart-Assignee-CR  SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-OpenChart-Category-CR  SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-OpenGraph-Assignee-CR  SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-OpenGraph-Category-CR  SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-ProposedSolCaseSum-CR  SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-ProposedSolCat-CR      SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-ProposedSolSum-CR      SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByAssignee        SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByAssignee-CR     SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByCategory        SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByCategory-CR     SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByGroup           SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByGroup-CR        SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByPriority        SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByPriority-CR     SHR:Reporting                    1/11/2001 10:38:25 PM    Button;                20  Yes
SHRR:HPD-RangeByRequester       SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-RangeByRequester-CR    SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-RangeDetails-CR        SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-RangeOpenCases         SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-RangeOpenCases-CR      SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-Ratings-ByAssignee-CR  SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-Ratings-ByDept-CR      SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-Ratings-ByMonth-CR     SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResoChart-Assignee-CR  SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResoChart-Category-CR  SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResoGraph-Assignee-CR  SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResoGraph-Category-CR  SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResolvedByDept-CR      SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResolvedByRoot-CR      SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResolvedCaseVolume-CR  SHR:Reporting                    1/11/2001 10:38:26 PM    Button;                20  Yes
SHRR:HPD-ResolvedCounts-CTI-CR  SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                20  Yes
SHRR:HPD-ResolvedRootGraph-CR   SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                20  Yes
SHRR:Report-AddAnd              SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddDivide           SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddDoubleQuote      SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddEqual            SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddGreaterTEqual    SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddGreaterThan      SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddLeftParen        SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddLessTEqual       SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddLessThan         SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddLike             SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddMinus            SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddNot              SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddNotEqual         SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddOr               SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddPercent          SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddPlus             SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:ReportAddRightParen        SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-AddTimes            SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Report-GetKeywords         SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Reporting-ButtonClose      SHR:Reporting                    1/11/2001 10:38:27 PM    Button;                 0  Yes
SHRR:Reporting-DeleteQuery      SHR:Reporting                    1/11/2001 10:38:28 PM    Button;                 0  Yes
SHRR:Reporting-FocusBsicQuery   SHR:Reporting                    1/11/2001 10:38:28 PM    Window Open;            1  Yes
SHRR:Reporting-NoQuery          SHR:Reporting                    1/11/2001 10:38:28 PM    Gain Focus;             1  Yes
SHRR:Reporting-NoQuery-Delete   SHR:Reporting                    1/11/2001 10:38:28 PM    Button;                 1  Yes
SHRR:Reporting-RefreshTable     SHR:Reporting                    1/11/2001 10:38:28 PM    Gain Focus;             0  Yes
SHRR:Reporting-RepAreaNotNull   SHR:Reporting                    1/11/2001 10:38:28 PM    Menu Choice; Return     0  Yes
SHRR:Reporting-RepAreaNull      SHR:Reporting                    1/11/2001 10:38:28 PM    Display; Window Ope     0  Yes
SHRR:Reporting-SaveQuery        SHR:Reporting                    1/11/2001 10:38:28 PM    Button;                 0  Yes
SHRR:Reporting-SelectQuery      SHR:Reporting                    1/11/2001 10:38:28 PM    Button;                 0  Yes
SHRR:SHR-BuildQualGuide08       SHR:Reporting                    1/11/2001 10:38:28 PM    None;                   0  Yes
SHRR:SHR-BuildQualGuide10       SHR:Reporting                    1/11/2001 10:38:28 PM    None;                   0  Yes
SHRR:SHR-BuildQualification01   SHR:Reporting                    1/11/2001 10:38:28 PM    Button;                 9  Yes
SHRR:SHR-BuildQualification02   SHR:Reporting                    1/11/2001 10:38:28 PM    Button;                10  Yes
SHRR:SHR-BuildQualification02I  SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                10  Yes
SHRR:SHR-BuildQualification03   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                11  Yes
SHRR:SHR-BuildQualification03I  SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                11  Yes
SHRR:SHR-BuildQualification04   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                12  Yes
SHRR:SHR-BuildQualification04I  SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                12  Yes
SHRR:SHR-BuildQualification05   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                13  Yes
SHRR:SHR-BuildQualification05I  SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                13  Yes
SHRR:SHR-BuildQualification06   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                14  Yes
SHRR:SHR-BuildQualification06I  SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                14  Yes
SHRR:SHR-BuildQualification07   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                16  Yes
SHRR:SHR-BuildQualification08   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                17  Yes
SHRR:SHR-BuildQualification09   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                18  Yes
SHRR:SHR-BuildQualification10   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                19  Yes
SHRR:SHR-BuildQualification11   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                16  Yes
SHRR:SHR-BuildQualification12   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                16  Yes
SHRR:SHR-BuildQualification13   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                15  Yes
SHRR:SHR-BuildQualification14   SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                15  Yes
SHRR:SHR-CheckInterApp00        SHR:Reporting                    1/11/2001 10:38:29 PM    Menu Choice;          900  Yes
SHRR:SHR-CheckInterApp01        SHR:Reporting                    1/11/2001 10:38:29 PM    Menu Choice;          901  Yes
SHRR:SHR-CheckReportField       SHR:Reporting                    1/11/2001 10:38:29 PM    Button;                 0  Yes
SHRR:SHR-ChkReportFieldID1      SHR:Reporting                    1/11/2001 10:38:29 PM    None;                   0  Yes
SHRR:SHR-ChkReportFieldID2      SHR:Reporting                    1/11/2001 10:38:29 PM    None;                   0  Yes
SHRR:SHR-ChkReportFieldID3      SHR:Reporting                    1/11/2001 10:38:29 PM    None;                   0  Yes
SHRR:SHR-ChkReportFieldID4      SHR:Reporting                    1/11/2001 10:38:29 PM    None;                   0  Yes
SHRR:SHR-ChkReportFieldID5      SHR:Reporting                    1/11/2001 10:38:30 PM    None;                   0  Yes
SHRR:SHR-ClearDevice            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                21  Yes
SHRR:SHR-ClearField1            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-ClearField2            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-ClearField3            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-ClearField4            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-ClearField5            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-ClearFields            SHR:Reporting                    1/11/2001 10:38:30 PM    Menu Choice;            1  Yes
SHRR:SHR-ClearSelectReport      SHR:Reporting                    1/11/2001 10:38:30 PM    Menu Choice;            1  Yes
SHRR:SHR-DateRangeNotSet        SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-ForceMenuSelect        SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-ForceOperations        SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-ForceValues            SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-ForRange1              SHR:Reporting                    1/11/2001 10:38:30 PM    None;                   1  Yes
SHRR:SHR-ForRange2              SHR:Reporting                    1/11/2001 10:38:30 PM    None;                   2  Yes
SHRR:SHR-ForRange3              SHR:Reporting                    1/11/2001 10:38:30 PM    Menu Choice;            3  Yes
SHRR:SHR-HideButtons            SHR:Reporting                    1/11/2001 10:38:30 PM    Menu Choice; Window     0  Yes
SHRR:SHR-HideDatesOnOpen        SHR:Reporting                    1/11/2001 10:38:30 PM    Menu Choice; Window     0  Yes
SHRR:SHR-NoDestination          SHR:Reporting                    1/11/2001 10:38:30 PM    Return;                 0  Yes
SHRR:SHR-NoFile                 SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-NoPrinter              SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-PreventDataWork        SHR:Reporting                    1/11/2001 10:38:30 PM    Display; Modify; Su     0  Yes
SHRR:SHR-PreviewReport          SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-PreviousWeek1          SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-PreviousWeek2          SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 2  Yes
SHRR:SHR-SetDefault             SHR:Reporting                    1/11/2001 10:38:30 PM    Window Open;            0  No 
SHRR:SHR-SetDeviceFile          SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-SetDeviceNotSet        SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 1  Yes
SHRR:SHR-SetDevicePrinter       SHR:Reporting                    1/11/2001 10:38:30 PM    Button;                 0  Yes
SHRR:SHR-SetFieldID1            SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            2  Yes
SHRR:SHR-SetFieldID1Failed      SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            3  Yes
SHRR:SHR-SetFieldID2            SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            2  Yes
SHRR:SHR-SetFieldID2Failed      SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            3  Yes
SHRR:SHR-SetFieldID3            SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            2  Yes
SHRR:SHR-SetFieldID3Failed      SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            3  Yes
SHRR:SHR-SetFieldID4            SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            2  Yes
SHRR:SHR-SetFieldID4Failed      SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            3  Yes
SHRR:SHR-SetFieldID5            SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            2  Yes
SHRR:SHR-SetFieldID5Failed      SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            3  Yes
SHRR:SHR-SetReportMenuAC        SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           40  Yes
SHRR:SHR-SetReportMenuAH        SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           40  Yes
SHRR:SHR-SetReportMenuAssoc     SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuAST       SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuASTCMP    SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuCHG       SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           40  Yes
SHRR:SHR-SetReportMenuCHGTSK    SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           40  Yes
SHRR:SHR-SetReportMenuHPD       SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           20  Yes
SHRR:SHR-SetReportMenuHPDSol    SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           20  Yes
SHRR:SHR-SetReportMenuHPDSurve  SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           20  Yes
SHRR:SHR-SetReportMenuSLAAST    SHR:Reporting                    1/11/2001 10:44:18 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuSLACHG    SHR:Reporting                    1/11/2001 10:44:18 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuSLADefs   SHR:Reporting                    1/11/2001 10:44:18 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuSLAHJS    SHR:Reporting                    1/11/2001 10:44:18 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuSLAHPD    SHR:Reporting                    1/11/2001 10:44:18 PM    Menu Choice;           30  Yes
SHRR:SHR-SetReportMenuTSK       SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;           40  Yes
SHRR:SHR-SetTargetSchema        SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            8  Yes
SHRR:SHR-SetTargetSchemaFailed  SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            9  Yes
SHRR:SHR-ShowButtons            SHR:Reporting                    1/11/2001 10:38:31 PM    Menu Choice;            0  Yes
SHRR:SHR-ThisMonth1             SHR:Reporting                    1/11/2001 10:38:31 PM    Button;                 1  Yes
SHRR:SHR-ThisMonth2             SHR:Reporting                    1/11/2001 10:38:32 PM    Button;                 2  Yes
SHRR:SHR-ToFile                 SHR:Reporting                    1/11/2001 10:38:32 PM    Return;                 0  Yes
SHRR:SHR-ToFile-win             SHR:Reporting                    1/11/2001 10:38:32 PM    Return;                 0  Yes
SHRR:SHR-ToPrinter              SHR:Reporting                    1/11/2001 10:38:32 PM    Return;                 0  Yes
SHRR:SHR-ToPrinter-win          SHR:Reporting                    1/11/2001 10:38:32 PM    Return;                 0  Yes
SHRR:SHR-TurnOffChangeFlag      SHR:Reporting                    1/11/2001 10:38:32 PM    Window Close;           0  Yes
SHRR:SLA-ActiveSLAs-CR          SHR:Reporting                    1/11/2001 10:44:18 PM    Button;                20  Yes
SHRR:SLAAST-ExceptionDept       SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-ExceptionDept-CR    SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-ExceptionSite       SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-ExceptionSite-CR    SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-HighLowDept         SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-HighLowDept-CR      SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-HighLowSite         SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-HighLowSite-CR      SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-PerformDept         SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-PerformDept-CR      SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-PerformSite         SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLAAST-PerformSite-CR      SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLACHG-ExceptionDept       SHR:Reporting                    1/11/2001 10:44:19 PM    Button;                20  Yes
SHRR:SLACHG-ExceptionDept-CR    SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-ExceptionGroup      SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-ExceptionGroup-CR   SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-HighLowDept         SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-HighLowDept-CR      SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-HighLowGroup        SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-HighLowGroup-CR     SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-PerformDept         SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-PerformDept-CR      SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-PerformGroup        SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-PerformGroup-CR     SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-RespRatingsCat-CR   SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-RespRatingsDept-CR  SHR:Reporting                    1/11/2001 10:44:20 PM    Button;                20  Yes
SHRR:SLACHG-RespRatingsPri-CR   SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-ExceptionDept       SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-ExceptionDept-CR    SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-ExceptionGroup      SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-ExceptionGroup-CR   SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-HighLowDept         SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-HighLowDept-CR      SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-HighLowGroup        SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-HighLowGroup-CR     SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-PerformDept         SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-PerformDept-CR      SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-PerformGroup        SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-PerformGroup-CR     SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-RespRatingsCat-CR   SHR:Reporting                    1/11/2001 10:44:21 PM    Button;                20  Yes
SHRR:SLAHPD-RespRatingsDept-CR  SHR:Reporting                    1/11/2001 10:44:22 PM    Button;                20  Yes
SHRR:SLAHPD-RespRatingsPri-CR   SHR:Reporting                    1/11/2001 10:44:22 PM    Button;                20  Yes
SHRR:SLAHPD-RslvRatingsCat-CR   SHR:Reporting                    1/11/2001 10:44:22 PM    Button;                20  Yes
SHRR:SLAHPD-RslvRatingsDept-CR  SHR:Reporting                    1/11/2001 10:44:22 PM    Button;                20  Yes
SHRR:SLAHPD-RslvRatingsPri-CR   SHR:Reporting                    1/11/2001 10:44:22 PM    Button;                20  Yes
SHRR:TSK-ImplementActStart-CR   SHR:Reporting                    1/11/2001 10:38:32 PM    Button;                20  Yes
SHRR:TSK-ImplementActualStart   SHR:Reporting                    1/11/2001 10:38:32 PM    Button;                20  Yes
SHRR:TSK-ImplementClosure       SHR:Reporting                    1/11/2001 10:38:32 PM    Button;                20  Yes
SHRR:TSK-ImplementClosure-CR    SHR:Reporting                    1/11/2001 10:38:32 PM    Button;                20  Yes
SHRR:TSK-ImplementPlanStrt      SHR:Reporting                    1/11/2001 10:38:32 PM    Button;                20  Yes
SHRR:TSK-ImplementPlanStrt-CR   SHR:Reporting                    1/11/2001 10:38:33 PM    Button;                20  Yes
SHRR:TSK-ImplementSite          SHR:Reporting                    1/11/2001 10:38:33 PM    Button;                20  Yes
SHRR:TSK-ImplementSite-CR       SHR:Reporting                    1/11/2001 10:38:33 PM    Button;                20  Yes
SHRR:TSK-ImplementStatus        SHR:Reporting                    1/11/2001 10:38:33 PM    Button;                20  Yes
